Language,DishID,DishName,Category,Price,Ingredients,Description
Vietnamese,9cee38b1-4411-447a-b41b-77333a30fb03,Ốc len xào dừa,Món phụ,140.000₫,"Ốc len, nước cốt dừa, sả, ớt, lá chanh, gia vị","Ốc béo ngậy, thơm nước cốt dừa và sả, ăn kèm bánh mì rất hợp."
Vietnamese,01d0c56e-c8c4-4b29-b680-23fe056d9a2b,Rau muống xào tỏi,Món phụ,55.000₫,"Rau muống, tỏi, dầu ăn, muối, nước mắm","Rau xanh giòn, tỏi phi thơm nức, món kèm cơm quen mà ngon."
Vietnamese,b1926133-7888-4c83-aea1-82d6822c89f4,Dưa giá chua ngọt,Món phụ,35.000₫,"Giá đỗ, cà rốt, hẹ, giấm, đường, muối","Chua ngọt thanh, giòn mát, giúp cân vị khi ăn món nướng và chiên."
Vietnamese,4b4a64b4-bb40-4ad0-bfa9-1c8049db633f,Chè bưởi Cần Thơ,Tráng miệng,60.000₫,"Cùi bưởi, đậu xanh, bột năng, nước cốt dừa, đường thốt nốt","Cùi bưởi giòn sần sật, đậu xanh bùi, nước cốt dừa béo thơm."
Vietnamese,8587fe4d-b8ec-445d-8dc9-b00ab6b7eddb,Bánh flan cà phê,Tráng miệng,45.000₫,"Trứng gà, sữa, caramel, cà phê đen","Flan mịn tan, vị caramel dịu, rưới cà phê đậm tạo hậu vị cuốn hút."
Vietnamese,3f9c8eaf-ded5-4250-b926-5048cecf2a9d,Nước sâm hạt chia,Đồ uống,40.000₫,"La hán quả, mía lau, rễ tranh, bông cúc, hạt chia","Thức uống thảo mộc mát lành, thơm nhẹ, uống giải nhiệt dễ chịu."
Vietnamese,87842a28-cf75-4faa-be99-0f37187225e6,Cà phê sữa đá,Đồ uống,35.000₫,"Cà phê rang xay, sữa đặc, đá viên","Đậm đà đúng chất Việt, cân bằng vị đắng và ngọt, uống tỉnh táo."
Vietnamese,5f9d87f0-00b9-45cc-b6c5-7bd6d95e403f,Gỏi cuốn tôm thịt Nam Bộ,Khai vị,65.000₫,"Bánh tráng, Tôm, Thịt ba chỉ, Bún, Rau sống, Hẹ","Cuốn tươi mát, chấm mắm nêm hoặc tương đậu đậm đà."
Vietnamese,cee7ab44-0d2a-4838-88ea-b5c91c6abcc5,Cơm tấm sườn bì chả Sài Gòn,Món chính,85.000₫,"Gạo tấm, Sườn nướng, Bì heo, Chả trứng, Đồ chua, Nước mắm","Sườn nướng thơm, cơm tấm dẻo tơi, ăn kèm nước mắm pha."
Vietnamese,8f5ae572-4498-4c70-92c2-f7b793140d62,Mì Quảng gà ta,Món chính,90.000₫,"Mì Quảng, Gà ta, Nghệ, Đậu phộng, Bánh tráng nướng, Rau sống","Sợi mì vàng nghệ, ít nước nhưng đậm vị, thơm lạc rang."
Vietnamese,47c4d198-030e-4ddb-8000-0543c5b5e369,Cá kho tộ miền Tây,Món chính,140.000₫,"Cá basa hoặc cá lóc, Nước dừa, Nước mắm, Tiêu, Hành tím, Ớt","Kho sánh kẹo, mặn ngọt hài hòa, thơm tiêu và nước dừa."
Vietnamese,03576a2a-4d9b-4726-a260-0ea988deece2,Bánh xèo tôm thịt miền Trung,Món chính,95.000₫,"Bột gạo, Nghệ, Tôm, Thịt ba chỉ, Giá đỗ, Rau sống, Nước chấm","Bánh mỏng giòn, cuốn rau sống và chấm nước mắm tỏi ớt."
Vietnamese,1ec49122-6f2f-490c-a616-d7b7a3720821,Lẩu mắm U Minh,Món chính,320.000₫,"Mắm cá, Tôm, Mực, Cá, Thịt ba rọi, Cà tím, Bông điên điển, Rau đồng","Lẩu thơm nồng mắm, nhiều hải sản và rau miền sông nước."
Vietnamese,adfc8238-6b2b-4df8-a858-ff499a487df9,Gà nướng lá mắc mật Lạng Sơn,Món chính,210.000₫,"Gà ta, Lá mắc mật, Mật ong, Tỏi, Hành, Gia vị","Da vàng giòn, thịt ngọt, dậy hương mắc mật đặc trưng vùng núi."
Vietnamese,e192dbc1-359f-4da3-a793-1db2db2990da,Canh chua cá lóc bông so đũa,Súp,115.000₫,"Cá lóc, Me, Cà chua, Dứa, Bông so đũa, Giá, Rau om, Ngò gai","Chua thanh, thơm rau, vị ngọt cá lóc đúng chất Nam Bộ."
Vietnamese,f02d445d-0d6b-4876-a896-d90232b0a748,Khoai lang chiên lắc phô mai,Món phụ,45.000₫,"Khoai lang, Bột chiên, Phô mai bột, Muối, Đường","Khoai chiên giòn bên ngoài, bùi ngọt bên trong, lắc phô mai hấp dẫn."
Vietnamese,70bec43f-378f-490f-9ce1-19469b4bb226,Dưa món củ kiệu tôm khô,Món phụ,65.000₫,"Củ kiệu, Cà rốt, Đu đủ, Tôm khô, Nước mắm, Đường","Giòn chua ngọt, ăn kèm món mặn giúp cân vị."
Vietnamese,be3589c6-66ee-47f7-9628-1ed0a39d0cf0,Chè ba màu Sài Gòn,Tráng miệng,45.000₫,"Đậu đỏ, Đậu xanh, Thạch lá dứa, Nước cốt dừa, Đá bào","Mát lạnh nhiều lớp, béo thơm nước cốt dừa."
Vietnamese,c0722fc6-21ea-4627-8cc7-e4dbab819444,Chè lam nếp cái hoa vàng,Tráng miệng,55.000₫,"Bột nếp, Mật mía, Gừng, Lạc rang, Vừng","Dẻo thơm mùi gừng và mật mía, bùi lạc vừng kiểu Bắc."
Vietnamese,d5457cad-3509-49a1-b56b-bc6601d5b02a,Trà sen long nhãn,Đồ uống,55.000₫,"Trà xanh, Hạt sen, Long nhãn, Đường phèn, Đá","Thanh mát, thơm sen, vị ngọt dịu từ nhãn và đường phèn."
Vietnamese,de01df7b-583f-44d4-b71e-b2bbc57720b6,Cà phê sữa đá kiểu Sài Gòn,Đồ uống,35.000₫,"Cà phê phin, Sữa đặc, Đá","Đậm đà, thơm rang xay, hậu vị sữa ngọt béo đặc trưng."
Vietnamese,308d0c9c-2a7e-4f60-b1cd-aacdc6abcbc3,Gỏi cuốn tôm thịt sốt tương đậu phộng,Khai vị,55.000₫,"Tôm, thịt ba chỉ, bún tươi, rau sống, bánh tráng, đậu phộng, tương đen","Cuốn tươi mát, chấm sốt tương đậu phộng béo bùi."
Vietnamese,b1b283dd-be7e-4e4b-a65e-5c808662e9eb,Nem cua bể Hải Phòng,Khai vị,95.000₫,"Thịt cua, tôm, thịt heo, miến, mộc nhĩ, trứng, bánh đa nem","Nem vuông giòn rụm, nhân cua thơm ngọt đậm vị biển."
Vietnamese,e8eb7e1c-c3fe-4e32-981b-893d4f33579d,Súp bào ngư nấm đông cô,Súp,180.000₫,"Bào ngư, nấm đông cô, nước dùng gà, trứng cút, bắp non, bột năng","Súp sánh mịn, vị ngọt thanh sang trọng."
Vietnamese,06fd12aa-2542-4631-8c02-1378090984c3,Canh chua cá lóc miền Tây,Súp,120.000₫,"Cá lóc, me, thơm, cà chua, bạc hà, đậu bắp, rau ngổ, ngò om","Chua thanh, thơm dậy mùi rau, chuẩn vị sông nước."
Vietnamese,e41cbb9b-630d-4d77-b18d-ca95fd65c8a4,Cơm tấm sườn nướng mật ong,Món chính,85.000₫,"Sườn heo, cơm tấm, mật ong, tỏi, nước mắm, đồ chua, mỡ hành","Sườn nướng thơm ngọt, ăn kèm mỡ hành và nước mắm pha."
Vietnamese,f2a9c83e-34bf-4711-8915-d02d03f17ecf,Phở bò tái lăn Hà Nội,Món chính,90.000₫,"Bánh phở, thịt bò, hành tây, gừng, quế, hồi, thảo quả, hành lá","Thịt bò áp chảo thơm, nước dùng trong ngọt vị xương."
Vietnamese,047136ec-6a1c-4d68-b70d-d45e0330f6ef,Cá kho tộ riềng tiêu,Món chính,140.000₫,"Cá basa/cá bông lau, nước mắm, đường thốt nốt, riềng, tiêu, ớt, hành tím","Kho sánh màu cánh gián, thơm riềng tiêu, đưa cơm."
Vietnamese,2682aa15-ca1f-4ee1-946e-6853d951b0f8,Bò lúc lắc khoai tây chiên,Món chính,165.000₫,"Thịt bò, ớt chuông, hành tây, tỏi, sốt dầu hào, khoai tây, tiêu","Bò mềm ngọt đảo nhanh lửa lớn, ăn kèm khoai tây giòn."
Vietnamese,29873bb0-ac27-46c2-b106-e517c4a3704f,Gà nướng lá chanh muối ớt,Món chính,210.000₫,"Gà ta, lá chanh, muối, ớt, sả, tỏi, mật ong","Da giòn thơm lá chanh, vị mặn cay cân bằng."
Vietnamese,c2707cd2-da05-4df2-9400-722716b7bcaf,Vịt quay Lạng Sơn sốt mắc mật,Món chính,260.000₫,"Vịt, lá mắc mật, mật ong, ngũ vị, tỏi, gừng, nước tương","Thịt vịt mềm, da quay bóng giòn, hương mắc mật đặc trưng."
Vietnamese,0719ae44-5711-4dd1-8796-cf6826928bbc,Bánh xèo miền Trung tôm mực,Món chính,110.000₫,"Bột gạo, nghệ, tôm, mực, giá đỗ, hành lá, rau sống, nước chấm","Vỏ mỏng giòn, nhân hải sản ngọt, cuốn rau chấm đậm đà."
Vietnamese,e568d659-5d84-431f-9fcd-3857114e4861,Lẩu mắm Cần Thơ,Món chính,320.000₫,"Mắm cá linh/cá sặc, tôm, mực, cá, thịt ba chỉ, cà tím, bông điên điển, rau đắng","Nồi lẩu thơm nồng mắm, rau đồng phong phú, vị miền Tây rõ nét."
Vietnamese,90a3a77e-86f9-49d1-a353-696b8f50eaaa,Đậu hũ non sốt nấm tiêu xanh,Món phụ,65.000₫,"Đậu hũ non, nấm đùi gà, nấm hương, tiêu xanh, nước tương, hành boa-rô","Đậu mềm mịn, sốt nấm thơm tiêu xanh cay nhẹ."
Vietnamese,42fc3770-4674-41cc-b067-1847e949ea33,Bánh bột lọc Huế,Khai vị,60.000₫,"Bột năng, tôm, thịt ba chỉ, hành phi, nước mắm chua ngọt","Bánh trong dẻo, nhân tôm thịt đậm vị, chan nước mắm thơm."
Vietnamese,00ef9074-4b4c-4518-82cf-a78bee9f943e,Bánh da lợn lá dứa,Tráng miệng,35.000₫,"Bột năng, bột gạo, đậu xanh, lá dứa, nước cốt dừa, đường","Nhiều lớp mềm dẻo, thơm lá dứa và vị béo dừa."
Vietnamese,687d4a97-c289-470d-8ec4-b600083d9112,Cà phê sữa đá Sài Gòn,Đồ uống,35.000₫,"Cà phê robusta, sữa đặc, đá","Đậm mạnh, ngọt béo, uống lạnh tỉnh táo."
Vietnamese,1a273bee-b0d5-4aed-bf46-f8960a13a41f,Gỏi cuốn tôm thịt,Khai vị,65.000₫,"Bánh tráng, Tôm, Thịt ba chỉ, Bún tươi, Rau sống, Hẹ",Cuốn thanh mát chấm mắm nêm hoặc tương đậu đậm vị.
Vietnamese,e784c6df-c026-48fa-9ef5-5868410d0adc,Bánh bèo chén Huế,Khai vị,70.000₫,"Bột gạo, Tôm chấy, Da heo chiên giòn, Hành phi, Nước mắm chua ngọt","Bánh mềm mịn, thơm tôm chấy, ăn kèm nước mắm Huế."
Vietnamese,a6a8695a-4068-4bd7-ad71-e2c009eca39a,Chả cá Lã Vọng cuốn rau thơm,Khai vị,120.000₫,"Cá lăng, Nghệ, Mẻ, Thì là, Hành lá, Lạc rang, Bún","Cá áp chảo vàng thơm, cuốn bún rau và chấm mắm tôm."
Vietnamese,192245c1-b87f-4884-9593-b98cd4bfb3d8,Nem nướng Nha Trang,Khai vị,95.000₫,"Thịt heo xay, Tỏi, Tiêu, Bánh tráng, Rau sống, Nước chấm đậu phộng","Nem nướng thơm lửa, cuốn giòn mát với nước chấm sánh béo."
Vietnamese,3290728e-2010-4ab1-a3b4-c6db8f3ae8f8,Súp bào ngư hầm hạt sen,Súp,180.000₫,"Bào ngư, Hạt sen, Nấm đông cô, Gà xé, Nước dùng","Súp nóng thanh ngọt, bào ngư giòn nhẹ, hạt sen bùi."
Vietnamese,c6b246c7-5a24-478c-abc2-358c3fd1776d,Súp cua nấm tuyết,Súp,85.000₫,"Thịt cua, Nấm tuyết, Trứng cút, Bắp non, Bột năng","Súp sánh mượt, vị ngọt cua tự nhiên, nấm tuyết giòn."
Vietnamese,9f540d59-fd21-4ac5-80da-27723957588e,Cơm tấm sườn bì chả,Món chính,95.000₫,"Gạo tấm, Sườn nướng, Bì heo, Chả trứng, Dưa chua, Nước mắm","Sườn nướng thơm, bì dai giòn, ăn kèm mỡ hành và đồ chua."
Vietnamese,51af48a7-2f23-4873-baf3-0bf503e22c5f,Bánh xèo miền Tây tôm thịt,Món chính,110.000₫,"Bột bánh xèo, Tôm, Thịt ba chỉ, Giá đỗ, Nước cốt dừa, Rau rừng","Vỏ giòn rụm, nhân đầy đặn, cuốn rau chấm nước mắm chua ngọt."
Vietnamese,243a060d-a441-471a-b836-cbdff35fd6b1,Cá kho tộ Nam Bộ,Món chính,160.000₫,"Cá basa, Nước màu, Tiêu, Ớt, Hành tím, Nước mắm","Kho sánh keo trong niêu đất, vị mặn ngọt hài hòa, thơm tiêu."
Vietnamese,475fbcbd-3fc7-445f-ba85-2c6acb1d6e60,Bò nướng lá lốt,Món chính,130.000₫,"Thịt bò xay, Lá lốt, Sả, Hành tím, Đậu phộng, Bún","Cuốn lá lốt thơm nức, nướng vừa lửa, chấm mắm nêm."
Vietnamese,6047d64b-ced9-4d4d-b17c-3d86b4e2044d,Gà nướng cơm lam Tây Nguyên,Món chính,220.000₫,"Gà ta, Mắc khén, Muối ớt, Sả, Cơm lam, Lá chuối","Gà nướng thơm gia vị núi rừng, ăn cùng cơm lam dẻo bùi."
Vietnamese,d3bfa6e7-4d6f-4205-ba06-ce257025db7a,Chè trôi nước gừng,Tráng miệng,55.000₫,"Bột nếp, Đậu xanh, Gừng, Đường thốt nốt, Nước cốt dừa","Viên bánh dẻo mềm, nhân bùi, nước gừng ấm thơm."
Vietnamese,37601091-50de-4c97-8b52-9b3ecc4e28b0,Gỏi cuốn tôm thịt chấm tương đậu,Khai vị,55.000₫,"Bánh tráng, Tôm, Thịt ba chỉ, Bún, Rau sống, Hẹ, Tương đậu","Cuốn tươi mát, cân bằng vị ngọt của tôm thịt và vị bùi của tương."
Vietnamese,cdabf61c-416b-4c5a-8efc-a77365cb4a26,Chả giò rế hải sản,Khai vị,75.000₫,"Bánh tráng rế, Tôm, Mực, Thịt cua, Củ sắn, Cà rốt, Nấm mèo","Vỏ rế giòn rụm, nhân hải sản thơm ngọt, chấm nước mắm chua ngọt."
Vietnamese,eb7c66db-c5d9-474c-9fe5-5794816b795f,Nộm hoa chuối tai heo,Khai vị,70.000₫,"Hoa chuối, Tai heo, Rau răm, Đậu phộng, Cà rốt, Nước mắm, Chanh, Tỏi","Giòn sần sật, chua cay hài hòa, đậm chất Bắc."
Vietnamese,b45fff95-e2d8-4657-98a5-30ad46b46d04,Súp bào ngư nấm tuyết,Súp,145.000₫,"Bào ngư, Nấm tuyết, Thịt gà, Trứng cút, Gừng, Hành lá","Súp sánh nhẹ, thanh ngọt, bổ dưỡng và thơm dịu."
Vietnamese,f3890c1c-97a7-4413-921b-ee2027418d61,Canh chua cá bông lau,Súp,135.000₫,"Cá bông lau, Me, Cà chua, Bạc hà, Đậu bắp, Dứa, Giá, Rau ngổ","Vị chua ngọt miền Tây, cá béo mềm, thơm rau ngổ."
Vietnamese,3ec54fc3-f8e1-4347-af45-cf24945994cc,Cá lóc nướng trui cuốn bánh tráng,Món chính,165.000₫,"Cá lóc, Bánh tráng, Bún, Rau rừng, Dưa leo, Khế, Nước mắm me","Cá nướng thơm khói, cuốn rau rừng và chấm mắm me hấp dẫn."
Vietnamese,d3665ff3-7bea-4be1-bd0c-3ace4ced0c85,Lẩu mắm miền Tây,Món chính,285.000₫,"Mắm cá linh, Mắm cá sặc, Tôm, Mực, Ba rọi, Cà tím, Bông điên điển, Rau nhút","Nồi lẩu đậm hương mắm, nhiều hải sản và rau đồng đặc trưng."
Vietnamese,c196e703-4cde-404b-9945-a7635f0ea631,Cháo lươn Nghệ An,Món chính,80.000₫,"Gạo, Lươn, Hành tăm, Nghệ, Ớt, Rau răm","Cháo sánh mịn, lươn mềm thơm, cay nhẹ đặc trưng xứ Nghệ."
Vietnamese,a04f60df-3da8-49b0-91d9-58e9bcf8a15d,Bắp cải xào tỏi,Món phụ,45.000₫,"Bắp cải, Tỏi, Dầu ăn, Muối, Tiêu","Món rau xào giòn ngọt, thơm mùi tỏi, hợp ăn kèm các món nướng."
Vietnamese,2d796eed-77e5-4974-b374-2b69306e195b,Dưa món chua ngọt,Món phụ,35.000₫,"Củ cải, Cà rốt, Đu đủ xanh, Nước mắm, Đường, Giấm","Chua ngọt hài hòa, giòn sật, giúp cân vị cho món béo."
Vietnamese,7771df6c-b0b9-4d84-8675-9f1d13d3d00e,Chè khúc bạch vải,Tráng miệng,55.000₫,"Kem sữa, Gelatin, Hạnh nhân, Vải, Nước đường, Đá","Mát lạnh, béo nhẹ, thơm hạnh nhân và ngọt thanh trái vải."
Vietnamese,b1db12d9-2c06-4d6f-94e8-9342f2ae4216,Bánh pía sầu riêng trứng muối,Tráng miệng,40.000₫,"Bột mì, Sầu riêng, Đậu xanh, Trứng muối, Đường, Dầu","Vỏ nhiều lớp, nhân sầu riêng béo thơm, điểm trứng muối mằn mặn."
Vietnamese,fea26683-588e-44cd-a059-b1875dcd0623,Bánh bột lọc Huế gói lá,Khai vị,70.000₫,"Bột năng, tôm, thịt heo, hành phi, lá chuối, nước mắm","Dẻo trong, nhân tôm thịt đậm vị, thơm mùi lá chuối."
Vietnamese,a3161ba3-b26e-4bd8-9357-366e20194ee5,Chả mực Hạ Long chiên giòn,Món phụ,120.000₫,"Mực mai, thì là, hành tím, tiêu, dầu ăn","Chả mực giã tay thơm ngọt, chiên vàng giòn hấp dẫn."
Vietnamese,81d892de-57aa-457d-a48d-2cc8cc9b0a4a,Nộm hoa chuối tai heo Tây Bắc,Khai vị,75.000₫,"Hoa chuối, tai heo, rau thơm, lạc rang, nước mắm, chanh","Giòn mát, chua ngọt hài hòa, thơm bùi lạc rang."
Vietnamese,f2312524-4af0-44f3-b8cd-4f81ff399568,Súp cua trứng cút nấm tuyết,Súp,85.000₫,"Thịt cua, trứng cút, nấm tuyết, bắp non, bột năng, tiêu","Sánh nhẹ, ngọt thanh từ cua, ấm bụng và bổ dưỡng."
Vietnamese,d996220e-c070-4743-8940-e22851c8b611,Cao lầu Hội An,Món chính,98.000₫,"Sợi cao lầu, thịt xá xíu, tóp mỡ, rau sống, nước tương","Dai giòn đặc trưng, thịt thấm vị, ăn cùng rau Trà Quế."
Vietnamese,138c07fc-8deb-4686-9a27-c803adfe500b,Bò né chảo gang Đà Lạt,Món chính,135.000₫,"Thịt bò, trứng ốp la, pate, hành tây, bánh mì, sốt tiêu","Bò mềm thơm trên chảo nóng, ăn kèm bánh mì giòn rụm."
Vietnamese,9eb8e9f2-d2e4-431f-a9eb-867fc62e9a8b,Chả giò hải sản giòn rụm,Khai vị,75.000₫,"Bánh tráng cuốn, Tôm, Mực, Thịt cua, Nấm mèo, Miến, Hành tím","Chả giò vàng giòn, nhân hải sản thơm ngọt."
Vietnamese,9e9b3d49-ab37-415e-a42f-bb54d7f72c5d,Nem nướng Nha Trang cuốn,Khai vị,89.000₫,"Nem nướng, Bánh tráng, Bún, Rau sống, Dưa leo, Đồ chua, Nước chấm đậu phộng",Cuốn kiểu Nha Trang với nước chấm sánh béo đặc trưng.
Vietnamese,89de7fcb-2bd2-4d87-8e6c-9671394b719d,Gỏi bưởi tôm khô miền Tây,Khai vị,95.000₫,"Bưởi, Tôm khô, Thịt ba rọi, Rau răm, Đậu phộng, Hành phi, Nước mắm","Vị bưởi thanh, tôm khô đậm, giòn thơm hấp dẫn."
Vietnamese,41f9ba48-3e6c-4751-a3ec-1b89a96ca2b8,Bò kho bánh mì,Món chính,110.000₫,"Thịt bò, Cà rốt, Sả, Quế, Hồi, Rượu vang, Nước dừa, Bánh mì","Bò kho mềm, nước sốt sánh thơm gia vị, ăn kèm bánh mì nóng."
Vietnamese,cd18e5ce-8404-409c-ad5e-dc3203d0479b,Cá lóc nướng trui cuốn rau rừng,Món chính,189.000₫,"Cá lóc, Bánh tráng, Bún, Rau rừng, Rau thơm, Dưa leo, Mắm nêm","Cá nướng mộc mạc thơm lừng, cuốn rau rừng chấm mắm nêm."
Vietnamese,c31e1c35-bf62-4bb7-bfc6-19ef01b05530,Mì Quảng gà,Món chính,90.000₫,"Mì Quảng, Gà, Nước dùng, Đậu phộng, Bánh tráng mè, Rau sống, Hành ngò","Sợi mì dai, nước dùng ít mà đậm, thơm đậu phộng và bánh tráng."
Vietnamese,7cf0014d-e60d-45fe-944e-cb243ef84308,Ốc hương rang muối ớt,Món phụ,165.000₫,"Ốc hương, Muối hột, Ớt, Tỏi, Sả, Đường, Bơ","Ốc giòn ngọt, áo muối ớt cay thơm, dậy mùi tỏi sả."
Vietnamese,52a1dcd6-1a37-4ecb-8cb6-d8b9d3e7d8b7,Xôi chiên phồng,Món phụ,60.000₫,"Nếp, Dầu chiên, Muối, Đường","Xôi chiên phồng giòn rỗng ruột, chấm kèm món kho hoặc xào."
Vietnamese,ebcefa98-795f-4dbb-9101-8a15f035b83f,Chè bưởi Huế,Tráng miệng,42.000₫,"Cùi bưởi, Đậu xanh, Bột năng, Nước cốt dừa, Đường, Muối","Chè sánh thơm nước cốt dừa, cùi bưởi giòn dai thanh mát."
Vietnamese,ad5a9de9-0c4a-4929-924e-ddeb07a61d5d,Bánh xèo miền Trung,Món chính,89.000₫,"Bột gạo, tôm, thịt, giá, nghệ, rau sống, nước chấm","Bánh mỏng giòn, nhân thơm, cuốn rau sống chấm mắm nêm."
Vietnamese,550b80f1-ea09-4fbc-86ea-8937301b8b2e,Bánh cuốn Thanh Trì,Khai vị,78.000₫,"Bột gạo, mộc nhĩ, thịt băm, hành phi, chả lụa, nước mắm","Lớp bánh mềm mượt, thơm hành phi, chấm nước mắm trong nhẹ."
Vietnamese,94d4d757-f44d-4d24-9eab-4b2c0cbbc4e9,Nộm hoa chuối tôm khô,Khai vị,72.000₫,"Hoa chuối, tôm khô, rau thơm, lạc rang, nước mắm chua ngọt","Giòn mát, chua ngọt cân bằng, thơm lạc rang và rau thơm."
Vietnamese,7bd62d7d-971a-482f-8fac-2197dc906c28,Canh chua cá lóc bông súng,Súp,139.000₫,"Cá lóc, me chua, bông súng, cà chua, dứa, bạc hà, rau ngổ","Canh chua miền sông nước, vị chua thanh, cá ngọt thịt."
Vietnamese,98cfce6e-a62e-468c-bacd-6a99f1c775d5,Dưa góp chua ngọt,Món phụ,35.000₫,"Đu đủ, cà rốt, giấm, đường, tỏi, ớt","Giòn nhẹ, chua ngọt hài hòa, giúp cân vị các món đậm đà."
Vietnamese,6eaef9a3-dfab-4e94-857d-e0a53139fa27,Sữa chua nếp cẩm,Tráng miệng,42.000₫,"Sữa chua, nếp cẩm, đường, nước cốt dừa","Chua dịu, nếp cẩm dẻo thơm, ăn mát lạnh dễ gây nghiện."
Vietnamese,ed1a946c-5445-403b-a3c4-b6e97eb14226,Trà sen tươi Tây Hồ,Đồ uống,58.000₫,"Trà xanh, sen tươi, mật ong, đá","Hương sen thanh tao, vị trà dịu, mát và thơm lâu."
Vietnamese,495f9cc5-c80f-4c0d-9a8a-3e0ca2ca116f,Súp bào ngư gà xé,Súp,145.000₫,"Bào ngư, thịt gà, nấm đông cô, trứng cút, bắp non","Súp sánh mượt, vị ngọt thanh, bổ dưỡng."
Vietnamese,73139671-3158-4e4a-9a5c-904a1e998378,Cá lăng nướng riềng mẻ,Món chính,245.000₫,"Cá lăng, riềng, mẻ, mắm tôm, nghệ, thì là","Cá nướng thơm riềng mẻ, thịt cá chắc ngọt, dậy mùi thì là."
Vietnamese,0e6dd63c-6504-4669-b7f5-451982941984,Gà nướng lá chanh Tây Bắc,Món chính,195.000₫,"Gà, lá chanh, mắc khén, tỏi, sả, muối","Gà nướng dậy mùi mắc khén và lá chanh, da giòn thịt ngọt."
Vietnamese,84194077-d4ab-4aab-825a-fbb4583cfc38,Tôm sú rang muối Hồng Kông,Món chính,285.000₫,"Tôm sú, muối rang, tỏi, ớt, bơ, hành lá","Tôm rang bơ tỏi mằn mặn, thơm nức, vỏ giòn hấp dẫn."
